// index, modulation, code rate, data rate, snr in db, per
1, BPSK, 0.5, 6, 3.36, 1
1, BPSK, 0.5, 6, 3.98, 0.1
1, BPSK, 0.5, 6, 5.52, 0.0001
2, BPSK, 0.75, 9, 3.98, 1
2, BPSK, 0.75, 9, 4.39, 0.98
2, BPSK, 0.75, 9, 4.93, 0.45
2, BPSK, 0.75, 9, 6.49, 0.014
2, BPSK, 0.75, 9, 6.65, 0.0001
3, QPSK, 0.5, 12, 5.491, 1
3, QPSK, 0.5, 12, 6.65, 0.96
3, QPSK, 0.5, 12, 7.27, 0.0001
4, QPSK, 0.75, 18, 7.27, 1
4, QPSK, 0.75, 18, 7.9, 0.74
4, QPSK, 0.75, 18, 8.56, 0.31
4, QPSK, 0.75, 18, 9.24, 0.14
4, QPSK, 0.75, 18, 9.95, 0.0001
5, 16-QAM, 0.5, 24, 9.95, 1
5, 16-QAM, 0.5, 24, 11.45, 0.56
5, 16-QAM, 0.5, 24, 11.69, 0.026
5, 16-QAM, 0.5, 24, 12.26, 0.0001
6, 16-QAM, 0.75, 36, 11.69, 1
6, 16-QAM, 0.75, 36, 12.26, 0.97
6, 16-QAM, 0.75, 36, 13.09, 0.095
6, 16-QAM, 0.75, 36, 13.979, 0.001
7, 64-QAM, 0.67, 48, 16.9, 1
7, 64-QAM, 0.67, 48, 17.99, 0.38
7, 64-QAM, 0.67, 48, 19.15, 0.001
8, 64-QAM, 0.75, 54, 17.99, 1
8, 64-QAM, 0.75, 54, 17.99, 0.98
8, 64-QAM, 0.75, 54, 19.15, 0.98
8, 64-QAM, 0.75, 54, 20.06, 0.038
8, 64-QAM, 0.75, 54, 20.65, 0.001
