// index, modulation, code rate, data rate, snr in db, per
1, BPSK, 0.5, 6, 1.36, 1
1, BPSK, 0.5, 6, 1.98, 0.1
1, BPSK, 0.5, 6, 3.52, 0.0001
2, BPSK, 0.75, 9, 1.98, 1
2, BPSK, 0.75, 9, 2.39, 0.98
2, BPSK, 0.75, 9, 2.93, 0.45
2, BPSK, 0.75, 9, 3.49, 0.014
2, BPSK, 0.75, 9, 4.65, 0.0001
3, QPSK, 0.5, 12, 9.75, 1
3, QPSK, 0.5, 12, 3.491, 1
3, QPSK, 0.5, 12, 4.65, 0.96
3, QPSK, 0.5, 12, 5.27, 0.0001
4, QPSK, 0.75, 18, 5.27, 1
4, QPSK, 0.75, 18, 5.9, 0.74
4, QPSK, 0.75, 18, 6.56, 0.31
4, QPSK, 0.75, 18, 7.24, 0.14
4, QPSK, 0.75, 18, 7.95, 0.0001
5, 16-QAM, 0.5, 24, 7.95, 1
5, 16-QAM, 0.5, 24, 9.45, 0.56
5, 16-QAM, 0.5, 24, 9.69, 0.026
5, 16-QAM, 0.5, 24, 10.26, 0.0001
6, 16-QAM, 0.75, 36, 9.69, 1
6, 16-QAM, 0.75, 36, 10.26, 0.97
6, 16-QAM, 0.75, 36, 11.09, 0.095
6, 16-QAM, 0.75, 36, 11.979, 0.001
7, 64-QAM, 0.67, 48, 14.9, 1
7, 64-QAM, 0.67, 48, 15.99, 0.38
7, 64-QAM, 0.67, 48, 17.15, 0.001
8, 64-QAM, 0.75, 54, 15.99, 1
8, 64-QAM, 0.75, 54, 15.99, 0.98
8, 64-QAM, 0.75, 54, 17.15, 0.98
8, 64-QAM, 0.75, 54, 18.06, 0.038
8, 64-QAM, 0.75, 54, 18.65, 0.001
