// index, modulation, code rate, data rate, snr in db, per
1, BPSK, 0.5, 6, 1.85, 1
1, BPSK, 0.5, 6, 2.12, 0.5
1, BPSK, 0.5, 6, 2.39, 0.32
1, BPSK, 0.5, 6, 2.67, 0.18
1, BPSK, 0.5, 6, 2.95, 0.1
1, BPSK, 0.5, 6, 3.23, 0.02
1, BPSK, 0.5, 6, 3.52, 0.0001
2, BPSK, 0.75, 9, 9.75, 1
2, BPSK, 0.75, 9, 10.17, 0.96
2, BPSK, 0.75, 9, 10.6, 0.8
2, BPSK, 0.75, 9, 11.04, 0.66
2, BPSK, 0.75, 9, 11.49, 0.34
2, BPSK, 0.75, 9, 11.95, 0.32
2, BPSK, 0.75, 9, 12.42, 0.16
2, BPSK, 0.75, 9, 12.91, 0.08
2, BPSK, 0.75, 9, 13.41, 0.02
2, BPSK, 0.75, 9, 13.93, 0.0001
3, QPSK, 0.5, 12, 9.75, 1
3, QPSK, 0.5, 12, 10.17, 0.96
3, QPSK, 0.5, 12, 10.6, 0.8
3, QPSK, 0.5, 12, 11.04, 0.66
3, QPSK, 0.5, 12, 11.49, 0.34
3, QPSK, 0.5, 12, 11.95, 0.32
3, QPSK, 0.5, 12, 12.42, 0.16
3, QPSK, 0.5, 12, 12.91, 0.08
3, QPSK, 0.5, 12, 13.41, 0.02
3, QPSK, 0.5, 12, 13.93, 0.0001
4, QPSK, 0.75, 18, 11.95, 1
4, QPSK, 0.75, 18, 12.42, 0.94
4, QPSK, 0.75, 18, 12.91, 0.88
4, QPSK, 0.75, 18, 13.41, 0.78
4, QPSK, 0.75, 18, 13.93, 0.5
4, QPSK, 0.75, 18, 14.46, 0.2
4, QPSK, 0.75, 18, 15.01, 0.1
4, QPSK, 0.75, 18, 15.57, 0.0001
5, 16-QAM, 0.5, 24, 12.42, 1
5, 16-QAM, 0.5, 24, 12.91, 0.96
5, 16-QAM, 0.5, 24, 13.41, 0.88
5, 16-QAM, 0.5, 24, 13.93, 0.64
5, 16-QAM, 0.5, 24, 14.46, 0.28
5, 16-QAM, 0.5, 24, 15.01, 0.14
5, 16-QAM, 0.5, 24, 15.57, 0.0001
6, 16-QAM, 0.75, 36, 13.41, 1
6, 16-QAM, 0.75, 36, 13.93, 0.94
6, 16-QAM, 0.75, 36, 14.46, 0.7
6, 16-QAM, 0.75, 36, 15.01, 0.32
6, 16-QAM, 0.75, 36, 15.57, 0.06
6, 16-QAM, 0.75, 36, 16.16, 0.001
7, 64-QAM, 0.67, 48, 13.93, 1
7, 64-QAM, 0.67, 48, 14.46, 0.99
7, 64-QAM, 0.67, 48, 15.01, 0.9
7, 64-QAM, 0.67, 48, 15.57, 0.23
7, 64-QAM, 0.67, 48, 16.16, 0.01
7, 64-QAM, 0.67, 48, 16.76, 0.0001
8, 64-QAM, 0.75, 54, 15.57, 1
8, 64-QAM, 0.75, 54, 16.16, 0.96
8, 64-QAM, 0.75, 54, 16.76, 0.27
8, 64-QAM, 0.75, 54, 17.39, 0.01
8, 64-QAM, 0.75, 54, 18.03, 0.001

