X,Initial_Positions_X,Initial_Positions_Y,PlaygroundSize,Rounds,Slots,roundTime,MsgSizeBits,Sources,Destinations,TX_POWER_mW,PathLossAlpha,PathLossBeta,noise_dBm,Table_From,Table_To,Table_Slot,Table_Channel,Table_Stream,Table_MCS,Table_Data,n1:Q length_mean_str5[#msg],n1:Q length_max_str5[#msg],n1:Q length_mean_str8[#msg],n1:Q length_max_str8[#msg],n1:Q length_mean_str10[#msg],n1:Q length_max_str10[#msg],n1:Q length_mean_str12[#msg],n1:Q length_max_str12[#msg],n2:Q length_mean_str5[#msg],n2:Q length_max_str5[#msg],n2:Q length_mean_str7[#msg],n2:Q length_max_str7[#msg],n2:Q length_mean_str8[#msg],n2:Q length_max_str8[#msg],n2:Q length_mean_str10[#msg],n2:Q length_max_str10[#msg],n2:Q length_mean_str12[#msg],n2:Q length_max_str12[#msg],n3:Q length_mean_str5[#msg],n3:Q length_max_str5[#msg],n3:Q length_mean_str7[#msg],n3:Q length_max_str7[#msg],n3:Q length_mean_str8[#msg],n3:Q length_max_str8[#msg],n3:Q length_mean_str10[#msg],n3:Q length_max_str10[#msg],n4:Q length_mean_str5[#msg],n4:Q length_max_str5[#msg],n4:Q length_mean_str8[#msg],n4:Q length_max_str8[#msg],n4:Q length_mean_str10[#msg],n4:Q length_max_str10[#msg],n5:Q length_mean_str5[#msg],n5:Q length_max_str5[#msg],n6:Q length_mean_str4[#msg],n6:Q length_max_str4[#msg],n7:Q length_mean_str2[#msg],n7:Q length_max_str2[#msg],n8:Q length_mean_str5[#msg],n8:Q length_max_str5[#msg],n8:Q length_mean_str8[#msg],n8:Q length_max_str8[#msg],n8:Q length_mean_str10[#msg],n8:Q length_max_str10[#msg],n9:Q length_mean_str7[#msg],n9:Q length_max_str7[#msg],n9:Q length_mean_str10[#msg],n9:Q length_max_str10[#msg],n10:Q length_mean_str1[#msg],n10:Q length_max_str1[#msg],n10:Q length_mean_str7[#msg],n10:Q length_max_str7[#msg],n10:Q length_mean_str10[#msg],n10:Q length_max_str10[#msg],n11:Q length_mean_str1[#msg],n11:Q length_max_str1[#msg],n11:Q length_mean_str8[#msg],n11:Q length_max_str8[#msg],n12:Q length_mean_str1[#msg],n12:Q length_max_str1[#msg],n12:Q length_mean_str5[#msg],n12:Q length_max_str5[#msg],n13:Q length_mean_str1[#msg],n13:Q length_max_str1[#msg],n13:Q length_mean_str3[#msg],n13:Q length_max_str3[#msg],n13:Q length_mean_str4[#msg],n13:Q length_max_str4[#msg],n14:Q length_mean_str2[#msg],n14:Q length_max_str2[#msg],n14:Q length_mean_str3[#msg],n14:Q length_max_str3[#msg],n15:Q length_mean_str5[#msg],n15:Q length_max_str5[#msg],n15:Q length_mean_str6[#msg],n15:Q length_max_str6[#msg],n15:Q length_mean_str8[#msg],n15:Q length_max_str8[#msg],n15:Q length_mean_str10[#msg],n15:Q length_max_str10[#msg],n16:Q length_mean_str6[#msg],n16:Q length_max_str6[#msg],n16:Q length_mean_str10[#msg],n16:Q length_max_str10[#msg],n17:Q length_mean_str1[#msg],n17:Q length_max_str1[#msg],n17:Q length_mean_str9[#msg],n17:Q length_max_str9[#msg],n17:Q length_mean_str10[#msg],n17:Q length_max_str10[#msg],n18:Q length_mean_str1[#msg],n18:Q length_max_str1[#msg],n18:Q length_mean_str8[#msg],n18:Q length_max_str8[#msg],n19:Q length_mean_str1[#msg],n19:Q length_max_str1[#msg],n19:Q length_mean_str5[#msg],n19:Q length_max_str5[#msg],n20:Q length_mean_str1[#msg],n20:Q length_max_str1[#msg],n20:Q length_mean_str3[#msg],n20:Q length_max_str3[#msg],n20:Q length_mean_str4[#msg],n20:Q length_max_str4[#msg],n21:Q length_mean_str2[#msg],n21:Q length_max_str2[#msg],n21:Q length_mean_str3[#msg],n21:Q length_max_str3[#msg],n22:Q length_mean_str5[#msg],n22:Q length_max_str5[#msg],n22:Q length_mean_str6[#msg],n22:Q length_max_str6[#msg],n22:Q length_mean_str8[#msg],n22:Q length_max_str8[#msg],n22:Q length_mean_str9[#msg],n22:Q length_max_str9[#msg],n22:Q length_mean_str10[#msg],n22:Q length_max_str10[#msg],n23:Q length_mean_str10[#msg],n23:Q length_max_str10[#msg],n24:Q length_mean_str1[#msg],n24:Q length_max_str1[#msg],n24:Q length_mean_str9[#msg],n24:Q length_max_str9[#msg],n24:Q length_mean_str10[#msg],n24:Q length_max_str10[#msg],n25:Q length_mean_str1[#msg],n25:Q length_max_str1[#msg],n25:Q length_mean_str8[#msg],n25:Q length_max_str8[#msg],n26:Q length_mean_str1[#msg],n26:Q length_max_str1[#msg],n26:Q length_mean_str5[#msg],n26:Q length_max_str5[#msg],n27:Q length_mean_str1[#msg],n27:Q length_max_str1[#msg],n27:Q length_mean_str3[#msg],n27:Q length_max_str3[#msg],n27:Q length_mean_str4[#msg],n27:Q length_max_str4[#msg],n28:Q length_mean_str2[#msg],n28:Q length_max_str2[#msg],n28:Q length_mean_str3[#msg],n28:Q length_max_str3[#msg],n28:Q length_mean_str11[#msg],n28:Q length_max_str11[#msg],n29:Q length_mean_str5[#msg],n29:Q length_max_str5[#msg],n29:Q length_mean_str6[#msg],n29:Q length_max_str6[#msg],n29:Q length_mean_str8[#msg],n29:Q length_max_str8[#msg],n29:Q length_mean_str9[#msg],n29:Q length_max_str9[#msg],n29:Q length_mean_str11[#msg],n29:Q length_max_str11[#msg],n30:Q length_mean_str5[#msg],n30:Q length_max_str5[#msg],n30:Q length_mean_str6[#msg],n30:Q length_max_str6[#msg],n30:Q length_mean_str8[#msg],n30:Q length_max_str8[#msg],n30:Q length_mean_str9[#msg],n30:Q length_max_str9[#msg],n30:Q length_mean_str11[#msg],n30:Q length_max_str11[#msg],n31:Q length_mean_str1[#msg],n31:Q length_max_str1[#msg],n31:Q length_mean_str5[#msg],n31:Q length_max_str5[#msg],n31:Q length_mean_str8[#msg],n31:Q length_max_str8[#msg],n31:Q length_mean_str9[#msg],n31:Q length_max_str9[#msg],n32:Q length_mean_str5[#msg],n32:Q length_max_str5[#msg],n32:Q length_mean_str8[#msg],n32:Q length_max_str8[#msg],n33:Q length_mean_str5[#msg],n33:Q length_max_str5[#msg],n34:Q length_mean_str1[#msg],n34:Q length_max_str1[#msg],n34:Q length_mean_str3[#msg],n34:Q length_max_str3[#msg],n35:Q length_mean_str2[#msg],n35:Q length_max_str2[#msg],n35:Q length_mean_str3[#msg],n35:Q length_max_str3[#msg],n35:Q length_mean_str11[#msg],n35:Q length_max_str11[#msg],n36:Q length_mean_str11[#msg],n36:Q length_max_str11[#msg],n37:Q length_mean_str2[#msg],n37:Q length_max_str2[#msg],n37:Q length_mean_str11[#msg],n37:Q length_max_str11[#msg],n38:Q length_mean_str1[#msg],n38:Q length_max_str1[#msg],n38:Q length_mean_str2[#msg],n38:Q length_max_str2[#msg],n38:Q length_mean_str11[#msg],n38:Q length_max_str11[#msg],n39:Q length_mean_str1[#msg],n39:Q length_max_str1[#msg],n39:Q length_mean_str2[#msg],n39:Q length_max_str2[#msg],n39:Q length_mean_str11[#msg],n39:Q length_max_str11[#msg],n40:Q length_mean_str1[#msg],n40:Q length_max_str1[#msg],n40:Q length_mean_str2[#msg],n40:Q length_max_str2[#msg],n40:Q length_mean_str11[#msg],n40:Q length_max_str11[#msg],n41:Q length_mean_str1[#msg],n41:Q length_max_str1[#msg],n41:Q length_mean_str2[#msg],n41:Q length_max_str2[#msg],n41:Q length_mean_str3[#msg],n41:Q length_max_str3[#msg],n41:Q length_mean_str11[#msg],n41:Q length_max_str11[#msg],n42:Q length_mean_str2[#msg],n42:Q length_max_str2[#msg],n42:Q length_mean_str3[#msg],n42:Q length_max_str3[#msg],n42:Q length_mean_str11[#msg],n42:Q length_max_str11[#msg],n43:Q length_mean_str11[#msg],n43:Q length_max_str11[#msg],n44:Q length_mean_str2[#msg],n44:Q length_max_str2[#msg],n44:Q length_mean_str11[#msg],n44:Q length_max_str11[#msg],n45:Q length_mean_str2[#msg],n45:Q length_max_str2[#msg],n45:Q length_mean_str11[#msg],n45:Q length_max_str11[#msg],n46:Q length_mean_str2[#msg],n46:Q length_max_str2[#msg],n46:Q length_mean_str11[#msg],n46:Q length_max_str11[#msg],n47:Q length_mean_str2[#msg],n47:Q length_max_str2[#msg],n47:Q length_mean_str11[#msg],n47:Q length_max_str11[#msg],n48:Q length_mean_str2[#msg],n48:Q length_max_str2[#msg],n48:Q length_mean_str3[#msg],n48:Q length_max_str3[#msg],n48:Q length_mean_str11[#msg],n48:Q length_max_str11[#msg],n49:Q length_mean_str2[#msg],n49:Q length_max_str2[#msg],n49:Q length_mean_str3[#msg],n49:Q length_max_str3[#msg],n49:Q length_mean_str11[#msg],n49:Q length_max_str11[#msg],Throughput str1(24->13)[Mbps],Throughput str2(7->38)[Mbps],Throughput str3(49->13)[Mbps],Throughput str4(6->27)[Mbps],Throughput str5(31->5)[Mbps],Throughput str6(30->16)[Mbps],Throughput str7(2->10)[Mbps],Throughput str8(4->31)[Mbps],Throughput str9(22->17)[Mbps],Throughput str10(23->4)[Mbps],Throughput str11(28->29)[Mbps],Throughput str12(2->1)[Mbps],Packet's End2End delay str7(2->10)[sec],Packet's End2End delay str12(2->1)[sec],Packet's End2End delay str8(4->31)[sec],Packet's End2End delay str4(6->27)[sec],Packet's End2End delay str2(7->38)[sec],Packet's End2End delay str9(22->17)[sec],Packet's End2End delay str10(23->4)[sec],Packet's End2End delay str1(24->13)[sec],Packet's End2End delay str11(28->29)[sec],Packet's End2End delay str6(30->16)[sec],Packet's End2End delay str5(31->5)[sec],Packet's End2End delay str3(49->13)[sec]
1,0,0,1000,26,200,1,16000,24,13,100,41.7749,24.3892,-100,1,2,28,1,5,2,0.025388,0,0,0,0,0,0,17,35,0,0,1,4,0,0,0,0,10,25,0,0,2,5,0,0,0,0,0,0,1,4,0,0,0,0,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,0,1,2,3,5,1,2,0,0,2,5,0,0,2,5,1,2,0,0,0,0,2,5,0,0,0,0,2,5,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,2,4,1,2,0,0,0,0,1,3,0,0,2,5,0,0,2,5,1,4,0,0,2,5,1,1,0,0,1,2,0,0,1,2,0,0,0,0,1,2,2,5,2,4,0,0,2,5,0,0,2,5,0,0,0,0,1,4,0,0,1,2,0,0,0,0,2,5,0,0,1,2,2,5,0,0,0,0,0,0,0,0,1,2,2,4,2,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,5,0,0,0,0,0,0,0,0,2,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,0,1,3,1,4,0,0,0.10624,0.191232,0.084992,0.308096,0.21248,0.223104,0.201856,0.15936,0.308096,0.31872,0.382464,1.33862,0.026385,0.0264457,0.408728,0.236446,0,0.336385,0.401385,0.041385,0.826446,0.171385,0.171446,0.411385
2,0,142.857,NaN,NaN,NaN,NaN,NaN,7,38,NaN,NaN,NaN,NaN,1,8,29,1,8,2,0.027258,0,0,0,0,0,0,43,50,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,2,4,0,0,1,3,0,0,0,0,3,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8,11,2,3,0,0,1,3,0,0,0,0,5,6,0,0,0,1,0,1,2,5,0,0,0,1,0,0,0,0,6,7,0,0,0,0,1,2,2,3,0,0,4,7,0,0,0,0,0,1,0,0,1,4,1,3,2,5,0,0,0,1,0,0,2,6,0,0,1,3,2,6,1,2,7,10,0,0,5,9,0,0,0,0,0,1,0,0,2,5,1,3,2,5,4,7,0,0,0,1,0,0,6,9,0,0,0,0,2,5,0,0,0,1,0,0,0,1,1,3,0,0,1,2,4,7,2,4,4,9,0,1,0,0,1,3,0,0,5,5,0,0,0,0,0,0,0,1,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,7,0,0,0.5312,0.467456,0.276224,0.435584,0.339968,0.499328,0.5312,0.42496,0.446208,0.403712,0.435584,1.12614,0.028084,0.0281627,0.410229,0.237884,0.131385,0.338039,0.403003,0.043012,0.82792,0.172868,0.551385,0.413003
3,0,285.714,NaN,NaN,NaN,NaN,NaN,49,13,NaN,NaN,NaN,NaN,1,8,34,1,8,2,0.027258,0,0,0,0,1,2,56,63,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,5,7,3,6,5,9,5,7,2,4,0,0,0,0,1,2,1,2,0,1,0,0,11,11,0,1,0,0,0,0,0,0,4,9,6,6,2,5,1,5,1,2,2,5,0,0,0,0,0,0,1,2,7,7,0,1,0,0,8,13,2,4,0,0,0,0,0,0,4,9,0,0,0,0,2,5,1,2,0,0,0,0,3,7,0,0,0,1,1,2,0,1,8,11,5,11,4,7,0,0,2,5,0,0,4,9,0,0,0,0,8,11,1,2,0,0,5,9,0,0,3,7,0,0,2,7,0,0,0,0,3,7,0,0,4,11,0,0,0,0,2,4,4,9,5,11,2,3,5,8,4,9,0,0,0,0,1,3,0,0,4,8,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,1,3,0,0,3,7,0,0,0,0,0,0,1,3,0,0,1,3,0,0,1,3,0,0,1,3,0,0,0,0,1,3,9,11,0,0,0.563072,0.509952,0.361216,0.552448,0.520576,0.552448,0.5312,0.5312,0.488704,0.456832,0.456832,1.1049,0.028756,0.0298617,0.451326,0.238349,0.190385,0.338522,0.403621,0.043585,0.828457,0.173414,0.552102,0.413468
4,0,428.571,NaN,NaN,NaN,NaN,NaN,6,27,NaN,NaN,NaN,NaN,1,8,40,1,8,2,0.022417,0,0,0,0,1,2,71,79,0,0,6,8,0,0,1,2,1,3,0,0,0,0,0,0,2,7,0,0,10,12,11,16,11,13,1,3,6,9,0,0,0,0,0,0,1,1,0,0,0,0,11,11,3,7,0,0,0,0,0,0,1,3,6,6,5,5,4,7,0,0,0,0,0,0,3,5,0,0,0,0,10,13,0,0,0,0,15,16,3,7,0,0,0,0,0,0,1,3,0,0,0,0,3,7,0,0,0,0,0,0,3,7,0,0,1,2,0,0,1,3,13,15,1,2,1,3,0,0,0,0,0,0,1,3,0,0,0,0,15,19,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,5,7,0,0,1,2,0,0,0,0,6,9,9,9,1,2,1,3,0,0,1,3,0,0,0,0,0,0,0,0,2,7,0,0,0,0,3,7,0,0,10,11,5,9,0,0,0,0,4,9,0,0,0,0,5,9,0,0,0,0,0,0,3,7,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,1,2,3,6,1,2,3,6,1,1,0,0,3,6,1,2,14,16,3,6,0.669312,0.552448,0.37232,0.616672,0.573696,0.605568,0.616192,0.552448,0.563072,0.5312,0.542784,1.16912,0.03041,0.0315337,0.452872,0.24003,0.192003,0.34005,0.405095,0.045032,0.830012,0.175122,0.553738,0.41514
5,0,571.429,NaN,NaN,NaN,NaN,NaN,31,5,NaN,NaN,NaN,NaN,1,2,121,2,10,2,0.027258,0,0,0,0,0,0,81,83,0,0,11,13,0,0,0,0,3,10,0,0,0,0,0,0,1,3,0,0,15,17,18,19,13,13,5,8,11,14,0,0,0,0,0,0,1,1,0,0,0,0,11,11,1,3,0,0,0,0,0,0,0,0,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,17,19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,4,6,18,21,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,23,0,0,10,13,0,0,0,0,4,9,0,0,11,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,4,9,0,0,11,11,1,3,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2,6,0,0,2,6,0,0,2,6,0,0,2,6,0,0,1,2,0,0,0,0,1,2,0,0,19,21,1,3,0.659168,0.627296,0.435584,0.648064,0.627296,0.659168,0.594944,0.627296,0.595424,0.574176,0.520576,0.733056,0.0854457,0.0314457,0.454328,0.241747,0.193495,0.560385,0.406677,0.0804457,0.831684,0.176605,0.555266,0.416587
6,0,714.286,NaN,NaN,NaN,NaN,NaN,30,16,NaN,NaN,NaN,NaN,1,2,122,2,10,2,0.027258,0,0,1,3,0,0,94,106,0,0,9,13,1,3,0,0,3,11,0,0,5,9,1,3,0,0,0,0,8,17,19,19,13,13,3,8,7,14,0,0,1,3,0,0,1,1,0,0,3,6,16,21,0,0,2,5,11,21,3,6,0,0,16,26,5,5,7,12,3,9,0,0,0,0,6,11,0,0,0,0,16,19,0,0,3,8,19,19,2,2,0,0,1,2,0,0,0,0,2,3,0,0,2,4,2,6,0,0,0,0,5,12,0,0,6,9,0,0,9,11,9,21,0,0,2,4,1,3,0,0,1,3,1,2,3,7,0,0,19,19,2,6,5,11,1,4,0,0,5,13,0,0,5,10,24,25,0,0,4,13,0,0,0,1,0,0,1,3,8,14,9,9,0,1,6,17,0,0,1,2,1,3,2,4,1,3,5,11,3,7,0,1,0,0,0,1,2,3,13,15,0,0,2,3,0,1,0,0,2,3,0,1,0,0,1,3,0,1,2,5,0,0,2,5,5,10,0,0,0,1,0,0,0,1,2,4,0,0,1,3,0,0,1,3,0,0,1,3,2,5,0,0,2,3,11,21,0,0,0.520576,0.616192,0.350592,0.499328,0.605568,0.541824,0.509952,0.63744,0.594944,0.594944,0.499328,1.40237,0.0870907,0.0321357,0.455919,0.243365,0.19496,0.56203,0.408178,0.0821537,0.833338,0.178268,0.556947,0.417169
7,0,857.143,NaN,NaN,NaN,NaN,NaN,2,10,NaN,NaN,NaN,NaN,1,2,123,2,10,2,0.019448,0,0,0,0,0,0,113,121,0,0,2,6,0,0,0,0,0,1,0,0,6,12,0,0,1,3,0,0,2,5,19,19,14,15,5,9,0,2,0,0,1,3,0,0,3,6,0,1,0,0,32,43,3,5,1,3,9,18,2,4,0,1,33,39,5,5,4,8,3,9,4,8,0,0,5,11,1,3,0,0,28,37,2,3,0,0,20,21,2,4,0,0,13,19,0,0,0,1,2,4,0,1,4,8,4,10,5,9,0,0,3,5,1,3,5,10,0,0,6,11,1,5,0,1,9,13,0,0,7,12,0,0,1,2,2,4,3,5,23,28,4,10,6,11,8,11,0,0,0,1,1,3,15,20,25,25,0,0,2,5,1,3,0,1,0,0,2,3,1,3,11,13,0,1,10,17,2,4,7,15,2,4,3,5,4,9,0,0,7,7,0,0,0,0,0,0,1,3,19,23,0,0,1,3,0,0,0,0,2,4,0,0,0,0,2,4,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,5,0,0,2,5,0,0,4,9,0,0,0,0,5,11,9,11,0,0,0.711808,0.658688,0.382464,0.605568,0.594944,0.616192,0.616192,0.648064,0.605568,0.58432,0.563072,1.14739,0.0875287,0.0338527,0.456627,0.24401,0.204385,0.562531,0.408832,0.0828347,0.833848,0.178967,0.557511,0.418886
8,142.857,0,NaN,NaN,NaN,NaN,NaN,4,31,NaN,NaN,NaN,NaN,2,3,29,2,5,2,0.025388,0,0,0,0,1,2,127,134,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,9,12,25,31,21,26,8,10,5,8,0,0,0,0,1,2,1,2,1,3,0,0,44,44,1,3,0,0,0,0,0,0,5,9,39,39,12,20,1,5,0,1,3,8,0,0,0,0,0,0,1,2,37,37,1,2,0,0,26,32,2,5,0,0,4,9,0,0,5,11,0,0,3,5,2,5,0,1,1,1,0,0,3,7,0,0,0,1,1,2,0,1,7,10,6,13,8,11,0,0,4,10,0,0,7,12,0,0,1,3,33,37,0,1,0,1,11,13,0,0,3,7,0,0,7,17,25,25,0,0,4,7,0,0,6,11,0,0,0,0,6,9,24,35,5,12,2,2,9,17,8,15,0,0,0,0,1,3,0,0,5,9,0,0,0,0,0,0,0,0,31,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,11,1,3,0,0,3,9,0,0,0,0,0,0,4,10,0,0,4,9,0,0,4,9,0,0,2,5,0,0,0,0,2,5,14,17,0,0,0.605568,0.605568,0.435584,0.563072,0.594944,0.658688,0.573696,0.658688,0.626816,0.594944,0.552448,0.626816,0.0890027,0.0354167,0.458344,0.379446,0.206084,0.564221,0.684385,0.0843357,0.835466,0.180675,0.559111,0.408495
9,142.857,142.857,NaN,NaN,NaN,NaN,NaN,22,17,NaN,NaN,NaN,NaN,2,3,1,2,7,2,0.027258,0,0,0,0,1,2,141,149,0,0,7,11,0,0,1,2,1,3,0,0,0,0,0,0,4,10,0,0,15,19,37,44,30,34,5,9,12,16,0,0,0,0,0,0,1,1,0,0,0,0,44,44,5,10,0,0,0,0,0,0,1,3,39,39,21,22,5,9,0,0,0,1,0,0,3,5,0,0,0,0,41,44,0,0,0,0,38,43,6,11,0,0,0,0,0,0,2,4,0,0,0,0,4,9,0,0,0,0,0,0,3,7,0,0,3,7,0,0,4,7,14,19,5,11,2,5,0,0,0,0,0,0,4,7,0,0,0,0,42,46,0,0,0,0,5,10,0,0,0,0,0,0,0,0,25,25,0,0,7,10,0,0,2,5,0,0,0,0,11,13,35,36,4,8,1,2,0,1,1,2,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,7,0,0,40,41,6,11,0,0,0,0,5,10,0,0,0,0,5,10,0,0,0,0,0,0,3,8,0,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,1,2,5,0,1,2,5,0,1,0,0,2,5,0,1,19,21,2,5,0.467456,0.37232,0.351072,0.351072,0.414816,0.42544,0.393568,0.521056,0.47856,0.573696,0.489184,0.616672,0.202385,0.0369717,0.467446,0.369073,0.442385,0.55392,0.673922,0.347385,0.825183,0.207385,0.548828,1.20639
10,142.857,285.714,NaN,NaN,NaN,NaN,NaN,23,4,NaN,NaN,NaN,NaN,2,3,2,2,7,2,0.027258,0,0,0,0,0,0,151,154,0,0,14,17,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,22,25,44,45,34,34,11,13,20,23,0,0,0,0,0,0,1,1,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,39,39,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,45,47,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,10,13,21,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,6,10,0,0,0,0,0,0,0,0,38,51,0,0,14,17,0,0,0,0,4,9,0,0,16,18,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,0,0,4,9,0,0,41,41,1,3,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,5,7,2,5,0,0,2,5,0,0,2,5,0,0,3,6,0,0,1,3,0,0,0,0,1,3,0,0,24,26,3,6,0.393568,0.350592,0.2656,0.244352,0.339968,0.350592,0.361216,0.339968,0.244352,0.339968,0.361216,0.58432,0.094958,0.0384997,0.359983,0.383385,0.334895,0.446619,0.566477,0.239976,0.717837,0.164002,0.441518,1.18985
