// index, modulation, code rate, data rate, snr in db, per
1, BPSK, 0.5, 6, 8, 0.999
1, BPSK, 0.5, 6, 10, 0.15
1, BPSK, 0.5, 6, 12, 0.09
1, BPSK, 0.5, 6, 13, 0.06
1, BPSK, 0.5, 6, 14, 0.045
1, BPSK, 0.5, 6, 15, 0.015
1, BPSK, 0.5, 6, 16, 0.001
1, BPSK, 0.5, 6, 30, 0.0001
8, 64-QAM, 0.75, 54, 30.9999, 0.999
8, 64-QAM, 0.75, 54, 31, 0.1
8, 64-QAM, 0.75, 54, 32, 0.08
8, 64-QAM, 0.75, 54, 33, 0.06
8, 64-QAM, 0.75, 54, 34, 0.04
8, 64-QAM, 0.75, 54, 35, 0.03
8, 64-QAM, 0.75, 54, 36, 0.02
8, 64-QAM, 0.75, 54, 37, 0.015
8, 64-QAM, 0.75, 54, 60, 0.0001


