vertex num, (x,y)
1, (0.001,0.605)
2, (0.003,0.633)
3, (0.007,0.105)
4, (0.009,0.187)
5, (0.019,0.009)
6, (0.019,0.031)
7, (0.029,0.951)
8, (0.037,0.659)
9, (0.045,0.225)
10, (0.051,0.723)
11, (0.059,0.929)
12, (0.107,0.887)
13, (0.119,0.093)
14, (0.119,0.149)
15, (0.135,0.273)
16, (0.141,0.537)
17, (0.143,0.277)
18, (0.147,0.371)
19, (0.147,0.621)
20, (0.149,0.941)
21, (0.167,0.151)
22, (0.169,0.355)
23, (0.201,0.485)
24, (0.203,0.941)
25, (0.219,0.135)
26, (0.233,0.159)
27, (0.239,0.283)
28, (0.249,0.375)
29, (0.251,0.411)
30, (0.255,0.903)
31, (0.275,0.423)
32, (0.277,0.751)
33, (0.289,0.211)
34, (0.291,0.835)
35, (0.297,0.361)
36, (0.349,0.547)
37, (0.359,0.667)
38, (0.359,0.707)
39, (0.371,0.557)
40, (0.373,0.593)
41, (0.375,0.949)
42, (0.377,0.105)
43, (0.377,0.959)
44, (0.389,0.171)
45, (0.389,0.343)
46, (0.389,0.745)
47, (0.389,0.883)
48, (0.395,0.359)
49, (0.419,0.551)
50, (0.433,0.865)
51, (0.451,0.783)
52, (0.469,0.869)
53, (0.477,0.135)
54, (0.479,0.429)
55, (0.485,0.623)
56, (0.489,0.635)
57, (0.495,0.117)
58, (0.497,0.941)
59, (0.509,0.163)
60, (0.535,0.837)
61, (0.543,0.109)
62, (0.545,0.529)
63, (0.609,0.949)
64, (0.611,0.201)
65, (0.619,0.765)
66, (0.625,0.933)
67, (0.633,0.687)
68, (0.639,0.087)
69, (0.641,0.973)
70, (0.645,0.391)
71, (0.653,0.009)
72, (0.655,0.857)
73, (0.657,0.019)
74, (0.659,0.841)
75, (0.663,0.399)
76, (0.665,0.871)
77, (0.673,0.237)
78, (0.695,0.153)
79, (0.695,0.213)
80, (0.713,0.423)
81, (0.729,0.797)
82, (0.751,0.001)
83, (0.765,0.769)
84, (0.769,0.471)
85, (0.773,0.263)
86, (0.775,0.157)
87, (0.815,0.815)
88, (0.829,0.273)
89, (0.843,0.715)
90, (0.861,0.431)
91, (0.881,0.097)
92, (0.891,0.527)
93, (0.909,0.225)
94, (0.913,0.579)
95, (0.931,0.785)
96, (0.939,0.111)
97, (0.961,0.771)
98, (0.967,0.619)
99, (0.993,0.303)
100, (0.995,0.847)
